otuId	R.101	R.103	R.112	R.113	R.14	R.16	R.21	R.24	R.243	R.245	R.246	R.247	R.24G	R.25	R.252	R.253	R.260	R.27	R.313	R.36	R.4	R.416	R.418	R.419	R.41B	R.41D	R.42	R.420	R.424	R.488	R.50	R.512	R.513	R.514	R.517	R.524	R.526	R.527	R.534	R.542	R.55	R.558	R.56	R.563	R.565	R.566	R.567	R.569C	R.569Z	R.57	R.570	R.571	R.575	R.577	R.578	R.579	R.58	R.585	R.585T	R.59	R.6	R.60	R.600	R.61	R.67	R.69	R.72	R.74	R.76	R.79	R.82	R.87	R.88	R.9	R.90	R.91	R.93	R.94	R.B001	R.B002	R.B003	R.B583
OTU_34850	0	0	0	5.14E-05	0	0	0	2.57E-05	0	2.57E-05	0	0	0	0	5.14E-05	0	0	0	2.57E-05	5.14E-05	0	0	0	0	2.57E-05	5.14E-05	0	0	0	0	0	0	0	0	2.57E-05	2.57E-05	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0
OTU_34855	0.000282689	0	0.000102796	7.71E-05	2.57E-05	0.000102796	0.000308388	0	0	7.71E-05	0	0.000102796	2.57E-05	2.57E-05	0	0	0	7.71E-05	0	0.000154194	0	0	0	0	2.57E-05	0.000128495	0.000359786	2.57E-05	0	0	2.57E-05	0	7.71E-05	0	0	2.57E-05	0.000179893	0.000205592	5.14E-05	2.57E-05	5.14E-05	5.14E-05	0.000205592	0	0	2.57E-05	2.57E-05	5.14E-05	7.71E-05	0.000102796	0	0.000102796	0	0	0	7.71E-05	0	5.14E-05	2.57E-05	0	5.14E-05	0	7.71E-05	0	0.000102796	5.14E-05	7.71E-05	0	0	0	2.57E-05	0.000154194	0	0	0	2.57E-05	0	7.71E-05	0	0	0.000591077	2.57E-05
OTU_34865	0	0	0	0	0	7.71E-05	0	0	2.57E-05	0	0	0	0	0	0	7.71E-05	0	5.14E-05	0	2.57E-05	0	2.57E-05	0	0	0	0	0	0.000334087	2.57E-05	0	0	0	0	0	0	0	0	0	0	0.000231291	0	0	2.57E-05	0	0	0	0	0	0	0	0	0.000102796	0	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0	5.14E-05	0	0	0	0.000231291	5.14E-05	0	0
OTU_34895	0.00077097	0	7.71E-05	5.14E-05	0	5.14E-05	0	0	5.14E-05	2.57E-05	0	0	0	0	0	5.14E-05	0	0	0	0	0	0	0	0	0	5.14E-05	0	2.57E-05	7.71E-05	0	0	0.00025699	0	0	0	7.71E-05	0	0	0.000488281	0	0	2.57E-05	0	0	0	2.57E-05	0	5.14E-05	0	0	5.14E-05	0	0	0	0	0	0	5.14E-05	0	0	0	0	0	2.57E-05	0	0	5.14E-05	0	0	0	0	5.14E-05	2.57E-05	0	0	5.14E-05	0.000179893	0	0	0	0	0
OTU_34905	0.002801192	0	0.000205592	0.001773232	5.14E-05	2.57E-05	0.000334087	0	0.000411184	0.001798931	0.000154194	0.000308388	0	0.000154194	0.001336349	0	0	0.00105366	0.000179893	0.000282689	2.57E-05	2.57E-05	0	2.57E-05	0.00025699	0.000231291	0.000205592	2.57E-05	5.14E-05	5.14E-05	0	2.57E-05	0	0	0.000102796	0.001027961	0.000205592	2.57E-05	0.000359786	0	2.57E-05	0.000154194	0.000539679	2.57E-05	0	5.14E-05	0.000154194	0.000128495	0.000385485	0.000334087	0	7.71E-05	5.14E-05	2.57E-05	7.71E-05	0.000411184	7.71E-05	0.000102796	0.000128495	2.57E-05	0.000128495	2.57E-05	0	0.000102796	7.71E-05	2.57E-05	0.000154194	0.000128495	0.000179893	5.14E-05	0.000205592	0.000102796	7.71E-05	0	0.000154194	5.14E-05	0.000205592	5.14E-05	0.000719572	0.000205592	0.000282689	0
OTU_34916	0	0	0	0	0.000102796	5.14E-05	7.71E-05	0	0	0	0.000411184	2.57E-05	5.14E-05	2.57E-05	0.000102796	0	0	0.000102796	2.57E-05	0	0	0	0	0	0.000179893	5.14E-05	0	0	5.14E-05	0	0	5.14E-05	2.57E-05	2.57E-05	0	2.57E-05	0	0	5.14E-05	0	0.000102796	5.14E-05	5.14E-05	0	0	0	0.000102796	5.14E-05	5.14E-05	0.000308388	0	0	0	0	0	0	0.000128495	5.14E-05	0	0	0.000102796	0	0.000128495	0.000231291	0.000179893	0.000205592	0.000128495	7.71E-05	0.000102796	0	5.14E-05	0	0	0.000102796	0.000154194	0	0	5.14E-05	0	5.14E-05	5.14E-05	0.000128495
OTU_34923	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	7.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179893	0	0	0	0.000179893	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	2.57E-05	0	0	0	0	0	0	0	0	2.57E-05	0	0	2.57E-05	0	0	0	0	0	0	0	0	0
OTU_34928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	0.000128495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57E-05	0
OTU_34932	0	0	0.000102796	0	2.57E-05	5.14E-05	0	5.14E-05	0	0	0	0.000231291	0	0	0	0	0	0	0	2.57E-05	0	0	0	0	0.000565378	0	0	0	0	0	5.14E-05	0	0	0	0	0	2.57E-05	0	0	0.00025699	0	2.57E-05	2.57E-05	0	0	0	0	0.000642475	2.57E-05	0	0	2.57E-05	0	0	2.57E-05	0.000128495	0	0	0	0	5.14E-05	0	0	0	0	2.57E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000668174	0	0	0
OTU_34933	5.14E-05	0	5.14E-05	2.57E-05	0	0	0	0	0	0.00051398	0	0	0	0	0	0	5.14E-05	0	0	0	2.57E-05	0	0	0	2.57E-05	2.57E-05	0	0	0	0	0	2.57E-05	7.71E-05	0	0	2.57E-05	2.57E-05	2.57E-05	5.14E-05	7.71E-05	2.57E-05	2.57E-05	0	0	0	5.14E-05	0.000231291	0.000205592	7.71E-05	0	0	0	0.000128495	0	5.14E-05	2.57E-05	0	5.14E-05	5.14E-05	0	5.14E-05	0	0	2.57E-05	0	7.71E-05	0	0	0	0	0	0	0	0	0	2.57E-05	0	0	0	7.71E-05	0	0
